"12/25/2021 20:38","3512B Center (4TN00222)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C"
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature"
98,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,304,Timed Out
99,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
100,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
101,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
102,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
103,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
104,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
105,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
106,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
107,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
108,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
109,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
110,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
111,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
112,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
113,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,266,Timed Out
114,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
115,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
116,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
117,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
118,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
119,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
120,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
121,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,262,Timed Out
122,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,262,Timed Out
123,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,266,Timed Out
