"12/22/2021 21:06","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","%","kPa","RPM","RPM","Deg C","Deg C"
"Sample #","Boost Pressure","Throttle Position","Fuel Pressure","Desired Engine Speed","Engine Speed","Right Exhaust Temperature","Left Exhaust Temperature"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data
622,8,34,399,1095,1091,280,280
623,6,34,399,1096,1090,280,276
624,8,34,399,1096,1098,280,299
625,8,34,399,1095,1102,285,285
626,8,34,400,1096,1093,276,276
627,6,34,400,1096,1099,257,285
628,6,34,400,1096,1093,276,285
629,6,34,400,1096,1098,276,276
630,8,34,400,1095,1102,266,280
631,6,34,400,1096,1103,266,290
632,8,34,400,1096,1093,276,271
633,6,34,400,1095,1099,257,280
634,6,34,400,1094,1098,271,280
635,8,34,400,1095,1092,271,276
636,8,34,400,1095,1101,276,285
637,8,34,401,1094,1103,262,280
638,6,34,400,1096,1099,280,299
639,6,34,401,1095,1099,271,290
640,4,34,400,1096,1101,280,290
641,8,34,400,1095,1088,285,285
642,8,34,400,1094,1087,276,285
643,6,34,400,1096,1089,262,299
644,4,34,399,1096,1082,262,276
645,8,34,399,1096,1087,276,285
646,6,34,398,1096,1091,276,276
647,6,34,398,1095,1092,271,290
648,6,34,399,1096,1093,271,299
649,10,34,399,1097,1104,276,290
650,6,34,399,1096,1097,280,276
651,8,34,400,1096,1102,262,290
652,6,34,400,1095,1101,280,299
653,6,34,400,1095,1095,276,271
654,6,34,400,1096,1094,280,290
655,8,34,400,1094,1095,262,299
656,8,34,399,1096,1097,271,299
657,8,34,399,1095,1100,276,285
658,6,34,400,1096,1098,280,290
659,8,34,400,1095,1101,276,276
660,6,34,400,1095,1095,271,304
661,6,34,400,1095,1100,262,290
662,6,34,400,1096,1104,280,290
663,6,34,400,1095,1094,271,280
664,6,34,401,1096,1097,262,276
665,4,34,400,1095,1101,285,280
666,6,34,400,1096,1102,285,271
667,6,34,400,1096,1088,285,304
668,6,34,400,1095,1094,276,280
669,4,34,401,1096,1093,285,276
670,4,34,401,1095,1096,262,271
671,6,34,401,1096,1100,262,285
672,6,34,401,1096,1104,266,271
673,6,34,401,1095,1094,262,280
674,4,34,402,1096,1102,262,280
675,4,34,401,1096,1102,257,280
676,10,34,401,1096,1091,266,290
677,6,34,400,1096,1099,276,299
678,6,34,401,1096,1098,280,280
679,6,34,401,1096,1095,262,285
680,6,34,400,1095,1096,262,271
681,6,34,400,1096,1101,276,285
682,6,34,400,1095,1091,266,285
683,6,34,400,1096,1089,257,299
684,4,34,400,1095,1093,266,299
685,4,34,400,1096,1090,262,280
686,8,34,400,1094,1090,257,271
687,6,34,400,1096,1100,266,276
688,6,34,400,1095,1091,257,285
689,6,34,400,1095,1096,271,276
690,8,34,400,1096,1097,266,290
691,4,34,400,1096,1100,276,276
692,4,34,400,1095,1092,252,271
693,6,34,400,1096,1095,257,299
694,4,34,400,1095,1096,276,276
695,4,34,399,1096,1092,271,285
696,6,34,400,1095,1094,266,276
697,6,34,400,1096,1092,276,276
698,6,34,400,1096,1094,266,280
699,6,34,400,1094,1092,262,290
700,4,34,400,1096,1096,276,285
701,8,34,400,1095,1100,276,285
702,6,34,400,1095,1094,252,299
703,6,34,400,1096,1098,252,271
704,4,34,400,1096,1092,276,290
705,8,34,400,1096,1097,266,290
706,8,34,401,1094,1097,262,285
707,6,34,400,1096,1091,262,290
708,6,34,400,1095,1099,262,276
709,8,34,401,1096,1098,252,285
710,4,34,401,1095,1104,262,266
711,8,34,401,1095,1097,257,271
712,6,34,401,1095,1097,262,280
713,6,34,401,1095,1094,266,276
714,4,34,401,1096,1093,276,266
715,8,34,400,1094,1094,257,271
716,6,34,400,1096,1093,257,290
717,6,34,400,1096,1096,262,271
718,6,34,400,1096,1091,266,285
719,8,34,400,1096,1094,266,271
720,8,34,400,1096,1092,252,271
721,6,34,400,1096,1094,257,285
722,4,34,400,1097,1101,271,290
723,6,34,400,1095,1092,257,280
724,8,34,400,1095,1091,257,285
725,6,34,400,1096,1095,271,280
