"12/22/2021 19:36","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","Deg C","kPa","Deg C","Deg C","Deg C","kPa","kPa"
"Sample #","Engine Coolant Temperature","Peak Air Filter Restriction","Aftercooler Temperature","Right Exhaust Temperature","Left Exhaust Temperature","Right Air Filter Restriction","Left Air Filter Restriction"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,No Data,No Data,No Data,No Data,No Data,No Data,No Data
258,78,2.5,32,345,354,0.4,0.6
259,78,2.5,32,354,349,0.4,0.6
260,78,2.5,32,349,349,0.4,0.5
261,78,2.5,32,336,363,0.4,0.5
262,78,2.5,32,340,363,0.3,0.6
263,78,2.5,32,354,354,0.3,0.5
264,78,2.5,32,345,363,0.3,0.5
265,78,2.5,32,332,349,0.3,0.6
266,78,2.5,32,340,349,0.3,0.6
267,78,2.5,32,345,368,0.3,0.5
268,78,2.5,32,345,373,0.3,0.6
269,78,2.5,32,354,368,0.3,0.5
270,78,2.5,32,340,359,0.3,0.5
271,78,2.5,32,336,368,0.3,0.5
272,78,2.5,32,336,354,0.3,0.6
273,78,2.5,32,345,368,0.3,0.5
274,78,2.5,32,349,354,0.4,0.5
275,78,2.5,32,345,345,0.3,0.6
276,78,2.5,32,332,359,0.3,0.6
277,78,2.5,32,349,354,0.3,0.5
278,78,2.5,32,336,368,0.3,0.6
279,78,2.5,32,327,359,0.3,0.5
280,78,2.5,32,332,359,0.3,0.5
281,78,2.5,32,336,345,0.3,0.5
282,78,2.5,32,345,345,0.3,0.6
283,78,2.5,32,340,359,0.3,0.5
284,78,2.5,32,327,359,0.3,0.5
285,78,2.5,32,327,359,0.3,0.5
286,78,2.5,32,340,340,0.4,0.6
287,78,2.5,32,354,349,0.3,0.6
288,78,2.5,32,340,340,0.3,0.6
289,78,2.5,32,345,340,0.3,0.5
290,78,2.5,32,345,359,0.3,0.5
291,78,2.5,32,340,345,0.3,0.5
292,78,2.5,32,327,345,0.4,0.6
293,78,2.5,32,340,349,0.3,0.5
294,78,2.5,32,349,363,0.3,0.5
295,78,2.5,32,349,359,0.3,0.6
296,78,2.5,32,340,359,0.3,0.5
297,78,2.5,32,322,349,0.3,0.5
298,78,2.5,32,336,345,0.4,0.5
299,78,2.5,32,349,349,0.3,0.6
300,78,2.5,32,332,340,0.3,0.5
301,78,2.5,32,327,349,0.4,0.5
302,78,2.5,32,336,363,0.3,0.6
303,78,2.5,32,349,349,0.3,0.6
304,78,2.5,32,349,340,0.3,0.5
305,78,2.5,32,336,354,0.4,0.6
306,78,2.5,32,345,363,0.3,0.5
307,78,2.5,32,336,340,0.3,0.5
308,78,2.5,32,336,354,0.3,0.5
309,78,2.5,32,327,349,0.3,0.6
310,78,2.5,32,340,340,0.3,0.5
311,78,2.5,32,349,354,0.3,0.5
312,78,2.5,32,340,349,0.3,0.6
313,78,2.5,32,340,340,0.3,0.5
314,78,2.5,32,336,359,0.3,0.5
315,78,2.5,32,332,345,0.4,0.6
316,78,2.5,32,332,345,0.3,0.5
317,78,2.5,32,345,354,0.4,0.5
318,78,2.5,32,340,345,0.4,0.5
319,78,2.5,32,327,340,0.3,0.5
320,78,2.5,32,327,363,0.3,0.6
321,78,2.5,32,327,345,0.3,0.6
322,78,2.5,32,336,345,0.3,0.5
323,78,2.5,32,345,354,0.3,0.5
324,78,2.5,32,340,345,0.3,0.5
325,78,2.5,32,349,345,0.3,0.6
326,78,2.5,32,340,354,0.4,0.5
327,78,2.5,32,340,349,0.3,0.5
328,78,2.5,32,322,354,0.4,0.5
329,78,2.5,32,322,359,0.3,0.5
330,78,2.5,32,332,345,0.3,0.6
331,78,2.5,32,340,359,0.4,0.6
332,78,2.5,32,340,345,0.3,0.5
333,78,2.5,32,345,340,0.4,0.5
334,78,2.5,32,336,359,0.3,0.5
335,78,2.5,32,322,354,0.3,0.5
336,78,2.5,32,332,345,0.3,0.6
337,78,2.5,32,345,349,0.3,0.6
338,78,2.5,32,336,340,0.3,0.6
339,78,2.5,32,322,359,0.3,0.5
340,78,2.5,32,322,345,0.3,0.5
341,78,2.5,32,327,340,0.3,0.6
342,78,2.5,32,332,336,0.3,0.6
343,78,2.5,32,345,354,0.3,0.5
344,78,2.5,32,345,336,0.3,0.6
345,78,2.5,32,336,345,0.3,0.6
346,78,2.5,32,322,359,0.4,0.6
347,78,2.5,32,336,349,0.4,0.5
348,78,2.5,32,345,349,0.4,0.6
349,78,2.5,32,322,349,0.3,0.5
350,78,2.5,32,322,345,0.3,0.6
351,78,2.5,32,340,354,0.3,0.5
352,78,2.5,32,332,349,0.3,0.5
353,78,2.5,32,322,340,0.4,0.6
354,78,2.5,32,336,354,0.3,0.5
355,78,2.5,32,345,359,0.3,0.5
356,78,2.5,32,340,336,0.3,0.6
357,78,2.5,32,322,354,0.3,0.6
358,78,2.5,32,327,349,0.3,0.6
359,78,2.5,32,336,336,0.2,0.4
360,78,2.5,32,345,340,0.4,0.5
361,78,2.5,32,332,349,0.3,0.6
362,78,2.5,32,322,336,0.3,0.6
363,78,2.5,32,327,340,0.3,0.5
364,78,2.5,32,327,336,0.3,0.6
365,78,2.5,32,318,336,0.3,0.5
366,78,2.5,32,332,345,0.3,0.5
367,78,2.5,32,345,340,0.4,0.6
368,78,2.5,32,345,340,0.4,0.6
369,78,2.5,32,327,359,0.4,0.5
370,78,2.5,32,322,340,0.3,0.5
371,78,2.5,32,336,336,0.4,0.5
372,78,2.5,32,340,359,0.3,0.5
373,78,2.5,32,327,336,0.3,0.5
374,78,2.5,32,336,349,0.4,0.5
375,78,2.5,32,332,345,0.4,0.5
376,78,2.5,32,332,354,0.3,0.5
377,78,2.5,32,322,359,0.3,0.5
378,78,2.5,32,332,349,0.3,0.6
379,78,2.5,32,345,349,0.3,0.5
380,78,2.5,32,345,345,0.4,0.5
381,78,2.5,32,327,354,0.3,0.5
382,78,2.5,32,322,345,0.4,0.6
383,78,2.5,32,336,336,0.3,0.6
384,78,2.5,32,332,354,0.3,0.6
385,78,2.5,32,336,340,0.4,0.5
386,78,2.5,32,322,354,0.3,0.5
387,78,2.5,32,318,349,0.3,0.5
388,78,2.5,32,327,359,0.3,0.5
389,78,2.5,32,340,340,0.3,0.5
390,78,2.5,32,332,340,0.3,0.6
391,78,2.5,32,327,345,0.3,0.5
392,78,2.5,32,327,349,0.3,0.5
393,78,2.5,32,340,349,0.4,0.6
394,78,2.5,32,327,332,0.4,0.5
395,78,2.5,32,327,340,0.4,0.6
396,78,2.5,32,336,336,0.3,0.6
397,78,2.5,32,322,332,0.4,0.6
398,78,2.5,32,322,345,0.3,0.6
399,78,2.5,32,318,332,0.4,0.6
400,78,2.5,32,322,345,0.4,0.6
401,78,2.5,32,318,345,0.3,0.6
402,78,2.5,32,322,354,0.3,0.5
403,78,2.5,32,336,359,0.3,0.5
404,78,2.5,32,336,354,0.3,0.5
405,78,2.5,32,340,336,0.4,0.5
406,78,2.5,32,327,345,0.4,0.6
407,78,2.5,32,322,354,0.3,0.5
408,78,2.5,32,336,345,0.4,0.6
409,78,2.5,32,336,354,0.3,0.5
410,78,2.5,32,327,359,0.3,0.5
411,78,2.5,32,327,345,0.3,0.5
412,78,2.5,32,327,336,0.4,0.5
413,78,2.5,32,345,336,0.3,0.5
414,78,2.5,32,332,340,0.3,0.5
415,78,2.5,32,322,340,0.3,0.5
416,78,2.5,32,327,345,0.4,0.6
417,78,2.5,32,340,345,0.3,0.5
418,78,2.5,32,336,359,0.3,0.5
419,78,2.5,32,322,359,0.3,0.5
420,78,2.5,32,322,349,0.3,0.6
421,78,2.5,32,340,349,0.3,0.6
422,78,2.5,32,340,340,0.3,0.5
