"12/22/2021 20:05","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C",""
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature","ECM In Control"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
248,4,395,32,1060,100.0,100.0,0.0,266,266,Primary ECM
249,4,395,32,1060,100.0,100.0,0.0,266,271,Primary ECM
250,6,395,32,1053,100.0,100.0,0.0,262,262,Primary ECM
251,4,395,32,1057,100.0,100.0,0.1,257,262,Primary ECM
252,4,393,32,1044,100.0,100.0,0.1,257,266,Primary ECM
253,4,393,32,1044,100.0,100.0,0.1,252,266,Primary ECM
254,6,392,32,1052,100.0,100.0,0.1,252,271,Primary ECM
255,4,393,32,1070,100.0,100.0,0.0,252,271,Primary ECM
256,6,393,32,1078,100.0,100.0,0.1,252,262,Primary ECM
257,6,395,32,1077,100.0,100.0,0.1,252,257,Primary ECM
258,2,395,32,1078,100.0,100.0,0.1,252,257,Primary ECM
259,6,396,32,1066,100.0,100.0,0.0,252,266,Primary ECM
260,4,396,32,1070,100.0,100.0,0.1,262,266,Primary ECM
261,4,396,32,1068,100.0,100.0,0.1,262,262,Primary ECM
262,4,396,32,1066,100.0,100.0,0.1,266,262,Primary ECM
263,4,396,32,1066,100.0,100.0,0.1,266,280,Primary ECM
264,6,396,32,1064,100.0,100.0,0.0,266,262,Primary ECM
265,6,396,32,1058,100.0,100.0,0.1,247,262,Primary ECM
266,6,396,32,1058,100.0,100.0,0.1,247,276,Primary ECM
267,2,395,32,1060,100.0,100.0,0.1,252,276,Primary ECM
268,4,394,32,1052,100.0,100.0,0.0,252,271,Primary ECM
269,4,394,32,1052,100.0,100.0,0.0,266,271,Primary ECM
270,4,394,32,1065,100.0,100.0,0.1,266,266,Primary ECM
271,8,394,32,1061,100.0,100.0,0.0,247,266,Primary ECM
272,2,393,32,1070,100.0,100.0,0.1,266,266,Primary ECM
273,2,393,32,1070,100.0,100.0,0.1,266,266,Primary ECM
274,6,394,32,1066,100.0,100.0,0.1,247,266,Primary ECM
275,4,395,32,1073,100.0,100.0,0.0,247,271,Primary ECM
276,6,395,32,1065,100.0,100.0,0.1,247,271,Primary ECM
277,6,395,32,1065,100.0,100.0,0.1,247,271,Primary ECM
278,6,396,32,1064,100.0,100.0,0.0,252,271,Primary ECM
279,4,396,32,1064,100.0,100.0,0.1,247,271,Primary ECM
280,4,396,32,1064,100.0,100.0,0.1,247,271,Primary ECM
281,4,396,32,1065,100.0,100.0,0.0,247,271,Primary ECM
282,6,395,32,1071,100.0,100.0,0.1,247,280,Primary ECM
283,4,396,32,1065,100.0,100.0,0.1,262,280,Primary ECM
284,4,395,32,1054,100.0,100.0,0.0,262,262,Primary ECM
285,4,395,32,1054,100.0,100.0,0.0,257,276,Primary ECM
286,6,395,32,1062,100.0,100.0,0.1,262,276,Primary ECM
287,6,395,32,1062,100.0,100.0,0.1,262,262,Primary ECM
288,4,395,32,1064,100.0,100.0,0.1,266,262,Primary ECM
289,4,395,32,1064,100.0,100.0,0.1,266,266,Primary ECM
290,4,395,32,1066,100.0,100.0,0.0,252,266,Primary ECM
291,4,395,32,1061,100.0,100.0,0.0,252,266,Primary ECM
292,4,395,32,1062,100.0,100.0,0.0,262,262,Primary ECM
293,6,395,32,1061,100.0,100.0,0.1,252,262,Primary ECM
294,6,395,32,1061,100.0,100.0,0.1,252,271,Primary ECM
295,4,395,32,1065,100.0,100.0,0.1,252,271,Primary ECM
296,6,395,32,1066,100.0,100.0,0.0,252,266,Primary ECM
297,6,395,32,1066,100.0,100.0,0.0,257,266,Primary ECM
298,4,395,32,1060,100.0,100.0,0.1,257,266,Primary ECM
299,6,395,32,1060,100.0,100.0,0.0,242,257,Primary ECM
300,2,395,32,1070,100.0,100.0,0.1,247,257,Primary ECM
301,2,395,32,1070,100.0,100.0,0.1,247,257,Primary ECM
302,6,396,32,1062,100.0,100.0,0.1,266,257,Primary ECM
303,4,396,32,1066,100.0,100.0,0.1,266,262,Primary ECM
304,6,395,32,1066,100.0,100.0,0.1,257,262,Primary ECM
305,6,395,32,1066,100.0,100.0,0.1,257,266,Primary ECM
306,4,395,32,1060,100.0,100.0,0.0,242,266,Primary ECM
307,4,396,32,1063,100.0,100.0,0.1,242,266,Primary ECM
308,6,395,32,1060,100.0,100.0,0.1,257,266,Primary ECM
309,4,395,32,1060,100.0,100.0,0.0,257,276,Primary ECM
310,4,395,32,1060,100.0,100.0,0.1,252,276,Primary ECM
311,4,395,32,1064,100.0,100.0,0.0,252,252,Primary ECM
312,4,395,32,1060,100.0,100.0,0.1,252,252,Primary ECM
313,4,395,32,1060,100.0,100.0,0.1,266,257,Primary ECM
314,4,395,32,1062,100.0,100.0,0.1,266,271,Primary ECM
315,4,395,32,1062,100.0,100.0,0.1,257,271,Primary ECM
316,4,395,32,1064,100.0,100.0,0.0,257,257,Primary ECM
317,4,395,32,1064,100.0,100.0,0.0,247,257,Primary ECM
318,2,396,32,1062,100.0,100.0,0.1,252,276,Primary ECM
319,4,396,32,1059,100.0,100.0,0.0,252,276,Primary ECM
320,4,395,32,1069,100.0,100.0,0.1,242,271,Primary ECM
321,4,396,32,1064,100.0,100.0,0.0,242,257,Primary ECM
322,4,396,32,1064,100.0,100.0,0.0,242,257,Primary ECM
323,4,396,32,1059,100.0,100.0,0.1,242,266,Primary ECM
324,6,396,32,1066,100.0,100.0,0.0,242,266,Primary ECM
325,6,396,32,1066,100.0,100.0,0.0,242,257,Primary ECM
326,4,395,32,1063,100.0,100.0,0.1,242,257,Primary ECM
327,6,395,32,1065,100.0,100.0,0.0,247,276,Primary ECM
328,4,396,32,1060,100.0,100.0,0.1,247,262,Primary ECM
329,4,396,32,1060,100.0,100.0,0.1,257,262,Primary ECM
330,4,396,32,1063,100.0,100.0,0.0,257,271,Primary ECM
331,2,396,32,1061,100.0,100.0,0.2,257,271,Primary ECM
332,4,396,32,1067,100.0,100.0,0.0,257,257,Primary ECM
333,2,396,32,1070,100.0,100.0,0.0,262,257,Primary ECM
334,4,396,32,1065,100.0,100.0,0.1,257,257,Primary ECM
335,2,396,32,1066,100.0,100.0,0.1,257,262,Primary ECM
336,4,396,32,1069,100.0,100.0,0.1,242,262,Primary ECM
337,4,396,32,1060,100.0,100.0,0.0,242,271,Primary ECM
338,4,395,32,1060,100.0,100.0,0.1,252,271,Primary ECM
339,4,396,32,1067,100.0,100.0,0.1,252,262,Primary ECM
340,4,396,32,1061,100.0,100.0,0.1,237,262,Primary ECM
341,4,396,32,1065,100.0,100.0,0.0,237,271,Primary ECM
342,6,396,32,1067,100.0,100.0,0.1,252,266,Primary ECM
343,2,396,32,1059,100.0,100.0,0.0,252,266,Primary ECM
344,4,396,32,1068,100.0,100.0,0.0,237,252,Primary ECM
345,4,396,32,1068,100.0,100.0,0.0,247,252,Primary ECM
346,2,396,32,1067,100.0,100.0,0.1,247,262,Primary ECM
347,4,396,32,1058,100.0,100.0,0.0,247,262,Primary ECM
348,6,396,32,1065,100.0,100.0,0.1,247,252,Primary ECM
349,2,396,32,1061,100.0,100.0,0.0,262,252,Primary ECM
350,2,396,32,1061,100.0,100.0,0.0,262,262,Primary ECM
351,6,396,32,1060,100.0,100.0,0.0,237,262,Primary ECM
352,4,396,32,1059,100.0,100.0,0.1,237,271,Primary ECM
